,dataset,method,metric,object_class,q2,q5,q8,recall,order_key
0,dashcam,random,savings in frames,bike,0.7699530516431925,0.7699530516431925,0.7699530516431925,0.1,2
1,dashcam,random,time savings,bike,0.7699530516431925,0.7699530516431925,0.7699530516431925,0.1,2
2,dashcam,random,savings in frames,bus,0.8392857142857143,0.8392857142857143,0.8392857142857143,0.1,5
3,dashcam,random,time savings,bus,0.8392857142857143,0.8392857142857143,0.8392857142857143,0.1,5
4,dashcam,random,savings in frames,motor,1.086021505376344,1.086021505376344,1.086021505376344,0.1,3
5,dashcam,random,time savings,motor,1.086021505376344,1.086021505376344,1.086021505376344,0.1,3
6,dashcam,random,savings in frames,person,0.8737373737373737,0.8737373737373737,0.8737373737373737,0.1,1
7,dashcam,random,time savings,person,0.8737373737373738,0.8737373737373738,0.8737373737373738,0.1,1
8,dashcam,random,savings in frames,rider,0.7689075630252101,0.7689075630252101,0.7689075630252101,0.1,4
9,dashcam,random,time savings,rider,0.7689075630252101,0.7689075630252101,0.7689075630252101,0.1,4
10,dashcam,random,savings in frames,traffic light,0.8468085106382979,0.8468085106382979,0.8468085106382979,0.1,7
11,dashcam,random,time savings,traffic light,0.8468085106382979,0.8468085106382979,0.8468085106382979,0.1,7
12,dashcam,random,savings in frames,traffic sign,0.8503937007874016,0.8503937007874016,0.8503937007874016,0.1,8
13,dashcam,random,time savings,traffic sign,0.8503937007874015,0.8503937007874015,0.8503937007874015,0.1,8
14,dashcam,random,savings in frames,truck,0.8121212121212121,0.8121212121212121,0.8121212121212121,0.1,6
15,dashcam,random,time savings,truck,0.812121212121212,0.812121212121212,0.812121212121212,0.1,6
16,dashcam,this work,savings in frames,bike,1.6565656565656566,1.6565656565656566,1.6565656565656566,0.1,2
17,dashcam,this work,time savings,bike,1.6565656565656566,1.6565656565656566,1.6565656565656566,0.1,2
18,dashcam,this work,savings in frames,bus,1.4242424242424243,1.4242424242424243,1.4242424242424243,0.1,5
19,dashcam,this work,time savings,bus,1.4242424242424245,1.4242424242424245,1.4242424242424245,0.1,5
20,dashcam,this work,savings in frames,motor,1.7876106194690264,1.7876106194690264,1.7876106194690264,0.1,3
21,dashcam,this work,time savings,motor,1.7876106194690264,1.7876106194690264,1.7876106194690264,0.1,3
22,dashcam,this work,savings in frames,person,2.7903225806451615,2.7903225806451615,2.7903225806451615,0.1,1
23,dashcam,this work,time savings,person,2.790322580645161,2.790322580645161,2.790322580645161,0.1,1
24,dashcam,this work,savings in frames,rider,1.525,1.525,1.525,0.1,4
25,dashcam,this work,time savings,rider,1.525,1.525,1.525,0.1,4
26,dashcam,this work,savings in frames,traffic light,1.3092105263157894,1.3092105263157894,1.3092105263157894,0.1,7
27,dashcam,this work,time savings,traffic light,1.3092105263157896,1.3092105263157896,1.3092105263157896,0.1,7
28,dashcam,this work,savings in frames,traffic sign,1.1368421052631579,1.1368421052631579,1.1368421052631579,0.1,8
29,dashcam,this work,time savings,traffic sign,1.1368421052631579,1.1368421052631579,1.1368421052631579,0.1,8
30,dashcam,this work,savings in frames,truck,1.4725274725274726,1.4725274725274726,1.4725274725274726,0.1,6
31,dashcam,this work,time savings,truck,1.4725274725274724,1.4725274725274724,1.4725274725274724,0.1,6
32,dashcam,random,savings in frames,bike,0.8414346389806513,0.8414346389806513,0.8414346389806513,0.5,2
33,dashcam,random,time savings,bike,0.8414346389806513,0.8414346389806513,0.8414346389806513,0.5,2
34,dashcam,random,savings in frames,bus,0.8164026095060578,0.8164026095060578,0.8164026095060578,0.5,5
35,dashcam,random,time savings,bus,0.8164026095060577,0.8164026095060577,0.8164026095060577,0.5,5
36,dashcam,random,savings in frames,motor,0.8509075194468453,0.8509075194468453,0.8509075194468453,0.5,3
37,dashcam,random,time savings,motor,0.8509075194468453,0.8509075194468453,0.8509075194468453,0.5,3
38,dashcam,random,savings in frames,person,0.8234155781325593,0.8234155781325593,0.8234155781325593,0.5,1
39,dashcam,random,time savings,person,0.8234155781325592,0.8234155781325592,0.8234155781325592,0.5,1
40,dashcam,random,savings in frames,rider,0.8565268522148177,0.8565268522148177,0.8565268522148177,0.5,4
41,dashcam,random,time savings,rider,0.8565268522148177,0.8565268522148177,0.8565268522148177,0.5,4
42,dashcam,random,savings in frames,traffic light,0.8691437802907916,0.8691437802907916,0.8691437802907916,0.5,7
43,dashcam,random,time savings,traffic light,0.8691437802907916,0.8691437802907916,0.8691437802907916,0.5,7
44,dashcam,random,savings in frames,traffic sign,0.9040940106141016,0.9040940106141016,0.9040940106141016,0.5,8
45,dashcam,random,time savings,traffic sign,0.9040940106141017,0.9040940106141017,0.9040940106141017,0.5,8
46,dashcam,random,savings in frames,truck,0.8244422890397672,0.8244422890397672,0.8244422890397672,0.5,6
47,dashcam,random,time savings,truck,0.8244422890397672,0.8244422890397672,0.8244422890397672,0.5,6
48,dashcam,this work,savings in frames,bike,2.3710106382978724,2.3710106382978724,2.3710106382978724,0.5,2
49,dashcam,this work,time savings,bike,2.3710106382978724,2.3710106382978724,2.3710106382978724,0.5,2
50,dashcam,this work,savings in frames,bus,1.6177285318559558,1.6177285318559558,1.6177285318559558,0.5,5
51,dashcam,this work,time savings,bus,1.6177285318559556,1.6177285318559556,1.6177285318559556,0.5,5
52,dashcam,this work,savings in frames,motor,2.015353121801433,2.015353121801433,2.015353121801433,0.5,3
53,dashcam,this work,time savings,motor,2.015353121801433,2.015353121801433,2.015353121801433,0.5,3
54,dashcam,this work,savings in frames,person,2.400564174894217,2.400564174894217,2.400564174894217,0.5,1
55,dashcam,this work,time savings,person,2.400564174894217,2.400564174894217,2.400564174894217,0.5,1
