,method,q2,q5,q8,dataset,object_class,metric,recall,order_key,norder_key
0,BlazeIt,10.5,10.5,10.5,dashcam,bicycle,savings in frames,0.1,"('dashcam', 'bicycle')",1
1,random,1.0,1.0,1.0,dashcam,bicycle,savings in frames,0.1,"('dashcam', 'bicycle')",1
2,this work,5.727272727272727,5.727272727272727,5.727272727272727,dashcam,bicycle,savings in frames,0.1,"('dashcam', 'bicycle')",1
3,random+,1.4,1.4,1.4,dashcam,bicycle,savings in frames,0.1,"('dashcam', 'bicycle')",1
4,BlazeIt,1.9732824427480913,1.9732824427480913,1.9732824427480913,dashcam,bicycle,savings in frames,0.5,"('dashcam', 'bicycle')",1
5,random,1.0,1.0,1.0,dashcam,bicycle,savings in frames,0.5,"('dashcam', 'bicycle')",1
6,this work,5.275510204081631,5.275510204081631,5.275510204081631,dashcam,bicycle,savings in frames,0.5,"('dashcam', 'bicycle')",1
7,random+,1.094179894179894,1.094179894179894,1.094179894179894,dashcam,bicycle,savings in frames,0.5,"('dashcam', 'bicycle')",1
8,BlazeIt,2.0068203198494827,2.0068203198494827,2.0068203198494827,dashcam,bicycle,savings in frames,0.9,"('dashcam', 'bicycle')",1
9,random,1.0,1.0,1.0,dashcam,bicycle,savings in frames,0.9,"('dashcam', 'bicycle')",1
10,this work,5.390397978521794,5.390397978521794,5.390397978521794,dashcam,bicycle,savings in frames,0.9,"('dashcam', 'bicycle')",1
11,random+,1.7332927076985578,1.7332927076985578,1.7332927076985578,dashcam,bicycle,savings in frames,0.9,"('dashcam', 'bicycle')",1
12,BlazeIt,0.01685311327907766,0.01685311327907766,0.01685311327907766,dashcam,bicycle,time savings,0.1,"('dashcam', 'bicycle')",1
13,random,1.0,1.0,1.0,dashcam,bicycle,time savings,0.1,"('dashcam', 'bicycle')",1
14,this work,5.727272727272727,5.727272727272727,5.727272727272727,dashcam,bicycle,time savings,0.1,"('dashcam', 'bicycle')",1
15,random+,1.4,1.4,1.4,dashcam,bicycle,time savings,0.1,"('dashcam', 'bicycle')",1
16,BlazeIt,0.24294075483761754,0.24294075483761754,0.24294075483761754,dashcam,bicycle,time savings,0.5,"('dashcam', 'bicycle')",1
17,random,1.0,1.0,1.0,dashcam,bicycle,time savings,0.5,"('dashcam', 'bicycle')",1
18,this work,5.275510204081634,5.275510204081634,5.275510204081634,dashcam,bicycle,time savings,0.5,"('dashcam', 'bicycle')",1
19,random+,1.094179894179894,1.094179894179894,1.094179894179894,dashcam,bicycle,time savings,0.5,"('dashcam', 'bicycle')",1
