,method,q2,q5,q8,dataset,object_class,metric,recall,order_key,norder_key
0,BlazeIt,1.2941176470588234,1.2941176470588234,1.2941176470588234,bdd,bike,savings in frames,0.1,"('bdd', 'bike')",2
1,random,1.0,1.0,1.0,bdd,bike,savings in frames,0.1,"('bdd', 'bike')",2
2,this work,2.3783783783783776,2.3783783783783776,2.3783783783783776,bdd,bike,savings in frames,0.1,"('bdd', 'bike')",2
3,random+,1.0797546012269938,1.0797546012269938,1.0797546012269938,bdd,bike,savings in frames,0.1,"('bdd', 'bike')",2
4,BlazeIt,0.9668691330756486,0.9668691330756486,0.9668691330756486,bdd,bike,savings in frames,0.5,"('bdd', 'bike')",2
5,random,1.0,1.0,1.0,bdd,bike,savings in frames,0.5,"('bdd', 'bike')",2
6,this work,2.6814701378254204,2.6814701378254204,2.6814701378254204,bdd,bike,savings in frames,0.5,"('bdd', 'bike')",2
7,random+,1.1340673575129532,1.1340673575129532,1.1340673575129532,bdd,bike,savings in frames,0.5,"('bdd', 'bike')",2
8,BlazeIt,0.9956750658142157,0.9956750658142157,0.9956750658142157,bdd,bike,savings in frames,0.9,"('bdd', 'bike')",2
9,random,1.0,1.0,1.0,bdd,bike,savings in frames,0.9,"('bdd', 'bike')",2
10,this work,1.88501245995016,1.88501245995016,1.88501245995016,bdd,bike,savings in frames,0.9,"('bdd', 'bike')",2
11,random+,1.0022714366837022,1.0022714366837022,1.0022714366837022,bdd,bike,savings in frames,0.9,"('bdd', 'bike')",2
12,BlazeIt,0.12828156482544528,0.12828156482544528,0.12828156482544528,bdd,bike,time savings,0.1,"('bdd', 'bike')",2
13,random,1.0,1.0,1.0,bdd,bike,time savings,0.1,"('bdd', 'bike')",2
14,this work,2.3783783783783776,2.3783783783783776,2.3783783783783776,bdd,bike,time savings,0.1,"('bdd', 'bike')",2
15,random+,1.0797546012269936,1.0797546012269936,1.0797546012269936,bdd,bike,time savings,0.1,"('bdd', 'bike')",2
16,BlazeIt,0.5746669952328802,0.5746669952328802,0.5746669952328802,bdd,bike,time savings,0.5,"('bdd', 'bike')",2
17,random,1.0,1.0,1.0,bdd,bike,time savings,0.5,"('bdd', 'bike')",2
18,this work,2.6814701378254204,2.6814701378254204,2.6814701378254204,bdd,bike,time savings,0.5,"('bdd', 'bike')",2
19,random+,1.1340673575129532,1.1340673575129532,1.1340673575129532,bdd,bike,time savings,0.5,"('bdd', 'bike')",2
20,BlazeIt,0.8079057871382943,0.8079057871382943,0.8079057871382943,bdd,bike,time savings,0.9,"('bdd', 'bike')",2
21,random,1.0,1.0,1.0,bdd,bike,time savings,0.9,"('bdd', 'bike')",2
22,this work,1.88501245995016,1.88501245995016,1.88501245995016,bdd,bike,time savings,0.9,"('bdd', 'bike')",2
23,random+,1.0022714366837022,1.0022714366837022,1.0022714366837022,bdd,bike,time savings,0.9,"('bdd', 'bike')",2
24,BlazeIt,1.1983471074380168,1.1983471074380168,1.1983471074380168,bdd,bus,savings in frames,0.1,"('bdd', 'bus')",5
25,random,1.0,1.0,1.0,bdd,bus,savings in frames,0.1,"('bdd', 'bus')",5
26,this work,1.686046511627907,1.686046511627907,1.686046511627907,bdd,bus,savings in frames,0.1,"('bdd', 'bus')",5
27,random+,1.178861788617886,1.178861788617886,1.178861788617886,bdd,bus,savings in frames,0.1,"('bdd', 'bus')",5
28,BlazeIt,1.014172335600907,1.014172335600907,1.014172335600907,bdd,bus,savings in frames,0.5,"('bdd', 'bus')",5
29,random,1.0,1.0,1.0,bdd,bus,savings in frames,0.5,"('bdd', 'bus')",5
30,this work,1.9052183173588926,1.9052183173588926,1.9052183173588926,bdd,bus,savings in frames,0.5,"('bdd', 'bus')",5
31,random+,1.165472312703583,1.165472312703583,1.165472312703583,bdd,bus,savings in frames,0.5,"('bdd', 'bus')",5
32,BlazeIt,1.0220517737296262,1.0220517737296262,1.0220517737296262,bdd,bus,savings in frames,0.9,"('bdd', 'bus')",5
33,random,1.0,1.0,1.0,bdd,bus,savings in frames,0.9,"('bdd', 'bus')",5
34,this work,1.4467969598262762,1.4467969598262762,1.4467969598262762,bdd,bus,savings in frames,0.9,"('bdd', 'bus')",5
35,random+,0.9927360774818405,0.9927360774818405,0.9927360774818405,bdd,bus,savings in frames,0.9,"('bdd', 'bus')",5
36,BlazeIt,0.10685476905937237,0.10685476905937237,0.10685476905937237,bdd,bus,time savings,0.1,"('bdd', 'bus')",5
37,random,1.0,1.0,1.0,bdd,bus,time savings,0.1,"('bdd', 'bus')",5
38,this work,1.6860465116279069,1.6860465116279069,1.6860465116279069,bdd,bus,time savings,0.1,"('bdd', 'bus')",5
39,random+,1.178861788617886,1.178861788617886,1.178861788617886,bdd,bus,time savings,0.1,"('bdd', 'bus')",5
