,level_0,object_class,AP,dataset
0,valid_AP,bicycle,0.0014098547717371836,dashcam
1,valid_AP,bus,0.001558871616064731,dashcam
2,valid_AP,fire hydrant,0.005277225603990457,dashcam
3,valid_AP,person,0.06890176233864183,dashcam
4,valid_AP,stop sign,0.12266549024863119,dashcam
5,valid_AP,traffic light,0.5840511740575288,dashcam
6,valid_AP,truck,0.3486781741907128,dashcam
7,random_AP,bicycle,0.0012429113397969896,dashcam
8,random_AP,bus,0.002042006363171958,dashcam
9,random_AP,fire hydrant,0.0039240446921746065,dashcam
10,random_AP,person,0.013746524649030986,dashcam
11,random_AP,stop sign,0.00621887321537956,dashcam
12,random_AP,traffic light,0.013445483871716632,dashcam
13,random_AP,truck,0.2567219425603186,dashcam
14,ratio,bicycle,1.1343164444597165,dashcam
15,ratio,bus,0.7634019384950652,dashcam
16,ratio,fire hydrant,1.3448433995959286,dashcam
17,ratio,person,5.012304134885381,dashcam
18,ratio,stop sign,19.724713143415396,dashcam
19,ratio,traffic light,43.438464515666475,dashcam
20,ratio,truck,1.3581938914660105,dashcam
21,valid_AP,bike,0.031350252528888956,bdd
22,valid_AP,bus,0.13221011103453936,bdd
23,valid_AP,motor,0.02104756467171512,bdd
24,valid_AP,person,0.3804149781785234,bdd
25,valid_AP,rider,0.01669479096197152,bdd
26,valid_AP,traffic light,0.6832656727190569,bdd
27,valid_AP,traffic sign,0.845115926945461,bdd
28,valid_AP,truck,0.29982045534196355,bdd
29,random_AP,bike,0.022861994067994634,bdd
30,random_AP,bus,0.13048522328898635,bdd
31,random_AP,motor,0.021206794586135575,bdd
32,random_AP,person,0.3454755500824305,bdd
33,random_AP,rider,0.01307541126325538,bdd
34,random_AP,traffic light,0.6050719430644967,bdd
35,random_AP,traffic sign,0.8517102543329808,bdd
36,random_AP,truck,0.23668305694561384,bdd
37,ratio,bike,1.3712825064886773,bdd
38,ratio,bus,1.0132190274275954,bdd
39,ratio,motor,0.9924915614298185,bdd
40,ratio,person,1.1011343004961025,bdd
41,ratio,rider,1.2768080961925343,bdd
42,ratio,traffic light,1.129230466807854,bdd
43,ratio,traffic sign,0.9922575460915589,bdd
44,ratio,truck,1.2667592653700503,bdd
